id,tipo,sku-pai,sku,ativo,usado,ncm,gtin,nome,descricao-completa,url-video-youtube,estoque-gerenciado,estoque-quantidade,estoque-situacao-em-estoque,estoque-situacao-sem-estoque,preco-sob-consulta,preco-custo,preco-cheio,preco-promocional,marca,peso-em-kg,altura-em-cm,largura-em-cm,comprimento-em-cm,categoria-nome-nivel-1,categoria-nome-nivel-2,categoria-nome-nivel-3,categoria-nome-nivel-4,categoria-nome-nivel-5,imagem-1,imagem-2,imagem-3,imagem-4,imagem-5,grade-genero,grade-tamanho-de-anelalianca,grade-tamanho-de-calca,grade-tamanho-de-camisacamiseta,grade-tamanho-de-capacete,grade-tamanho-de-tenis,grade-voltagem,grade-tamanho-juvenil-infantil,grade-produto-com-uma-cor,grade-produto-com-duas-cores,grade-tamanho-infantil,"",url-antiga
,variacao,XP132184712,XP132184712-GG,S,N,,,,,,S,0,imediata,30 dias,N,,169.9,,,,,,,,,,,,,,,,,,,,GG,,,,,,,,,
,variacao,XP132184712,XP132184712-XG,S,N,,,,,,S,0,imediata,30 dias,N,,169.9,,,,,,,,,,,,,,,,,,,,XG,,,,,,,,,
,com-variacao,,XP132184218,S,N,,,Roma (Versão Jogador) - Home (2022/23),Roma (Versão Jogador) - Home (2022/23),,,,,,N,,,,,,,,,Versão Jogador,,,,,https://d3ugyf2ht6aenh.cloudfront.net/tmp/stores/001/482/519/products/c5e3cad6-1.jpg,https://d3ugyf2ht6aenh.cloudfront.net/stores/001/482/519/products/4278f18f1-f17be57d403869567316625630983695-640-0.jpg,https://d3ugyf2ht6aenh.cloudfront.net/stores/001/482/519/products/99fcadec1-9ad27a58feaf1b263216625630989201-640-0.jpg,https://d3ugyf2ht6aenh.cloudfront.net/stores/001/482/519/products/8c0844b61-af2a2d6f8ca8e343f216625630988783-640-0.jpg,https://d3ugyf2ht6aenh.cloudfront.net/stores/001/482/519/products/f4804f761-160c693f230bbcf04616625630990822-640-0.jpg,,,,,,,,,,,,,
,variacao,XP132184218,XP132184218-P,S,N,,,,,,S,0,imediata,30 dias,N,,169.9,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,
,variacao,XP132184218,XP132184218-M,S,N,,,,,,S,0,imediata,30 dias,N,,169.9,,,,,,,,,,,,,,,,,,,,M,,,,,,,,,
,variacao,XP132184218,XP132184218-G,S,N,,,,,,S,0,imediata,30 dias,N,,169.9,,,,,,,,,,,,,,,,,,,,G,,,,,,,,,
,variacao,XP132184218,XP132184218-GG,S,N,,,,,,S,0,imediata,30 dias,N,,169.9,,,,,,,,,,,,,,,,,,,,GG,,,,,,,,,
,variacao,XP132184218,XP132184218-XG,S,N,,,,,,S,0,imediata,30 dias,N,,169.9,,,,,,,,,,,,,,,,,,,,XG,,,,,,,,,
,com-variacao,,XP132183853,S,N,,,Barcelona Versão Jogador - Away (2022/23),Barcelona Versão Jogador - Away (2022/23),,,,,,N,,,,,,,,,Versão Jogador,,,,,https://d3ugyf2ht6aenh.cloudfront.net/tmp/stores/001/482/519/products/a5faa746.jpg,https://d3ugyf2ht6aenh.cloudfront.net/stores/001/482/519/products/694fbbf91-375056d991914ce93a16625628833885-640-0.jpg,https://d3ugyf2ht6aenh.cloudfront.net/tmp/stores/001/482/519/products/f1bc4d96.jpg,https://d3ugyf2ht6aenh.cloudfront.net/tmp/stores/001/482/519/products/86ffe5e2.jpg,https://d3ugyf2ht6aenh.cloudfront.net/stores/001/482/519/products/99b64bdb1-be7fd878b289a1474616625628833424-640-0.jpg,,,,,,,,,,,,,
,variacao,XP132183853,XP132183853-P,S,N,,,,,,S,0,imediata,30 dias,N,,169.9,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,
,variacao,XP132183853,XP132183853-M,S,N,,,,,,S,0,imediata,30 dias,N,,169.9,,,,,,,,,,,,,,,,,,,,M,,,,,,,,,
,variacao,XP132183853,XP132183853-G,S,N,,,,,,S,0,imediata,30 dias,N,,169.9,,,,,,,,,,,,,,,,,,,,G,,,,,,,,,
,variacao,XP132183853,XP132183853-GG,S,N,,,,,,S,0,imediata,30 dias,N,,169.9,,,,,,,,,,,,,,,,,,,,GG,,,,,,,,,
,variacao,XP132183853,XP132183853-XG,S,N,,,,,,S,0,imediata,30 dias,N,,169.9,,,,,,,,,,,,,,,,,,,,XG,,,,,,,,,
,com-variacao,,XP132183312,S,N,,,Barcelona - Third Kit (2022/23),Barcelona - Third Kit (2022/23) Masculina Versão Torcedor,,,,,,N,,,,,,,,,Camisas Masculina,La Liga,,,,https://d3ugyf2ht6aenh.cloudfront.net/stores/001/482/519/products/2e7fc6aa1-6926659de8324a677c16625626995943-640-0.jpg,https://d3ugyf2ht6aenh.cloudfront.net/stores/001/482/519/products/ba4f869f1-1e18b4b8d0b36e875016625626998078-640-0.jpg,https://d3ugyf2ht6aenh.cloudfront.net/stores/001/482/519/products/45ada8d71-c911f8e7539d52728e16625626998517-640-0.jpg,https://d3ugyf2ht6aenh.cloudfront.net/stores/001/482/519/products/decaec0f1-834c52eb0f6124e73516625627000365-640-0.jpg,https://d3ugyf2ht6aenh.cloudfront.net/stores/001/482/519/products/306dc4b91-bd5039312dbba1f40916625627008840-640-0.jpg,,,,,,,,,,,,,
,variacao,XP132183312,XP132183312-P,S,N,,,,,,S,0,imediata,30 dias,N,,139.9,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,
,variacao,XP132183312,XP132183312-M,S,N,,,,,,S,0,imediata,30 dias,N,,139.9,,,,,,,,,,,,,,,,,,,,M,,,,,,,,,
,variacao,XP132183312,XP132183312-G,S,N,,,,,,S,0,imediata,30 dias,N,,139.9,,,,,,,,,,,,,,,,,,,,G,,,,,,,,,
,variacao,XP132183312,XP132183312-GG,S,N,,,,,,S,0,imediata,30 dias,N,,139.9,,,,,,,,,,,,,,,,,,,,GG,,,,,,,,,
,variacao,XP132183312,XP132183312-XG,S,N,,,,,,S,0,imediata,30 dias,N,,139.9,,,,,,,,,,,,,,,,,,,,XG,,,,,,,,,
,variacao,XP132183312,XP132183312-XGG,S,N,,,,,,S,0,imediata,30 dias,N,,139.9,,,,,,,,,,,,,,,,,,,,XGG,,,,,,,,,
,com-variacao,,XP132124239,S,N,,,Athletico Paranaense - Home (2022),Athletico Paranaense - Home (2022) Masculina Versão Torcedor,,,,,,N,,,,,,,,,Camisas Masculina,Brasileirão,,,,https://d3ugyf2ht6aenh.cloudfront.net/stores/001/482/519/products/7aeaa4db-2c61-42a3-a1b2-b322560b388d-2a7c0bf8f6e94cc30b16625176582298-640-0.jpeg,https://d3ugyf2ht6aenh.cloudfront.net/stores/001/482/519/products/16640945-d132-46a0-81f9-51a646a80eb8-db083377bac3a5fff316625176582405-640-0.jpeg,https://d3ugyf2ht6aenh.cloudfront.net/stores/001/482/519/products/07af7610-8320-4319-9fdc-1f316322f8c7-08961f00d01aa8b7f516625176581245-640-0.jpeg,https://d3ugyf2ht6aenh.cloudfront.net/stores/001/482/519/products/2638657a-615d-4f82-a925-903652550d4c-b28c410f04f9701d2c16625176582070-640-0.jpeg,https://d3ugyf2ht6aenh.cloudfront.net/stores/001/482/519/products/06891125-0e00-4606-8f53-9fde3a56928f-8f45cc23a2d1dc5cec16625176581161-640-0.jpeg,,,,,,,,,,,,,
,variacao,XP132124239,XP132124239-P,S,N,,,,,,S,0,imediata,30 dias,N,,139.9,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,
,variacao,XP132124239,XP132124239-M,S,N,,,,,,S,0,imediata,30 dias,N,,139.9,,,,,,,,,,,,,,,,,,,,M,,,,,,,,,
,variacao,XP132124239,XP132124239-G,S,N,,,,,,S,0,imediata,30 dias,N,,139.9,,,,,,,,,,,,,,,,,,,,G,,,,,,,,,
,variacao,XP132124239,XP132124239-GG,S,N,,,,,,S,0,imediata,30 dias,N,,139.9,,,,,,,,,,,,,,,,,,,,GG,,,,,,,,,
,variacao,XP132124239,XP132124239-XG,S,N,,,,,,S,0,imediata,30 dias,N,,139.9,,,,,,,,,,,,,,,,,,,,XG,,,,,,,,,
,variacao,XP132124239,XP132124239-XGG,S,N,,,,,,S,0,imediata,30 dias,N,,139.9,,,,,,,,,,,,,,,,,,,,XGG,,,,,,,,,
